Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
10230,48.1296232,17.1575571,140.428,4.114,4.17,1650122391189000,124,3
10285,48.1296216,17.1575591,140.417,4.143,4.12,1650122391244000,124,3
10340,48.1296202,17.1575614,140.423,4.157,4.14,1650122391299000,124,3
10395,48.1296186,17.1575637,140.459,4.239,4.16,1650122391354000,124,3
10505,48.1296161,17.1575679,140.534,4.039,4.2,1650122391464000,124,3
10560,48.1296147,17.1575698,140.565,3.996,4.04,1650122391519000,124,3
10615,48.1296133,17.1575723,140.602,4.133,4,1650122391574000,124,3
10670,48.1296118,17.1575746,140.633,4.189,4.13,1650122391629000,124,3
10725,48.1296103,17.1575769,140.651,4.235,4.19,1650122391684000,124,3
10835,48.1296071,17.1575813,140.623,4.302,4.3,1650122391794000,124,3
10890,48.1296055,17.1575838,140.617,4.396,4.3,1650122391849000,124,3
10945,48.129604,17.1575863,140.577,4.425,4.4,1650122391904000,124,3
11000,48.1296026,17.1575885,140.57,4.352,4.43,1650122391959000,124,3
11110,48.1295991,17.1575935,140.516,4.642,4.45,1650122392069000,124,3
11165,48.1295975,17.157596,140.497,4.601,4.64,1650122392124000,124,3
11220,48.129596,17.1575983,140.451,4.527,4.6,1650122392179000,124,3
11275,48.1295945,17.1576006,140.434,4.484,4.53,1650122392234000,124,3
11330,48.1295929,17.157603,140.449,4.519,4.48,1650122392289000,124,3
11440,48.1295897,17.1576079,140.346,4.56,4.5,1650122392399000,124,3
11495,48.1295883,17.1576103,140.357,4.487,4.56,1650122392454000,124,3
11550,48.1295866,17.1576128,140.346,4.547,4.49,1650122392509000,124,3
11605,48.1295852,17.1576152,140.336,4.519,4.55,1650122392564000,124,3
11715,48.1295819,17.1576202,140.338,4.593,4.55,1650122392674000,124,3
11770,48.1295803,17.1576226,140.354,4.579,4.59,1650122392729000,124,3
11825,48.1295787,17.1576248,140.306,4.521,4.58,1650122392784000,124,3
