Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
8855,48.1462479,17.1596294,136.496,3.911,3.93,1650124968434000,142,3
8910,48.1462505,17.1596336,136.538,3.912,3.86,1650124968489000,142,3
9020,48.1462517,17.1596359,136.485,3.892,3.91,1650124968599000,142,3
9075,48.146253,17.1596381,136.453,3.935,3.89,1650124968654000,142,3
9130,48.1462541,17.1596404,136.458,3.91,3.93,1650124968709000,142,3
9185,48.1462551,17.1596428,136.465,3.891,3.91,1650124968764000,142,3
9295,48.146257,17.1596475,136.442,3.822,3.79,1650124968874000,142,3
9350,48.1462581,17.15965,136.434,3.902,3.82,1650124968929000,142,3
9405,48.1462592,17.1596525,136.444,3.982,3.9,1650124968984000,142,3
9460,48.1462602,17.1596551,136.465,4.02,3.98,1650124969039000,142,3
9570,48.1462611,17.1596576,136.47,3.928,4.02,1650124969149000,142,3
9625,48.1462629,17.1596626,136.385,3.857,3.87,1650124969204000,142,3
9680,48.146264,17.1596651,136.4,3.916,3.86,1650124969259000,142,3
9735,48.1462648,17.1596677,136.38,3.878,3.92,1650124969314000,142,3
9790,48.1462657,17.1596702,136.353,3.848,3.88,1650124969369000,142,3
9900,48.1462675,17.1596753,136.378,3.889,3.85,1650124969479000,142,3
9955,48.1462682,17.1596778,136.373,3.81,3.89,1650124969534000,142,3
10010,48.1462689,17.1596805,136.368,3.827,3.81,1650124969589000,142,3
10065,48.1462694,17.1596832,136.365,3.845,3.83,1650124969644000,142,3
10175,48.1462703,17.1596859,136.361,3.926,3.84,1650124969754000,142,3
10230,48.1462718,17.1596914,136.342,3.958,3.98,1650124969809000,142,3
10285,48.1462725,17.1596942,136.373,3.989,3.96,1650124969864000,142,3
10340,48.1462734,17.1596969,136.365,4.019,3.99,1650124969919000,142,3
10395,48.1462738,17.1596997,136.357,3.922,4.02,1650124969974000,142,3
10505,48.146275,17.1597053,136.38,3.987,3.95,1650124970084000,142,3
10560,48.1462753,17.159708,136.376,3.928,3.99,1650124970139000,142,3
10615,48.146276,17.1597109,136.386,3.977,3.93,1650124970194000,142,3
10670,48.1462765,17.1597138,136.375,4.006,3.98,1650124970249000,142,3
10725,48.1462767,17.1597168,136.378,4.024,4.01,1650124970304000,142,3
10835,48.1462774,17.1597227,136.368,4.004,3.94,1650124970414000,142,3
10890,48.1462776,17.1597258,136.355,4.055,4,1650124970469000,142,3
10945,48.1462778,17.1597287,136.341,4.01,4.06,1650124970524000,142,3
11000,48.1462781,17.1597317,136.313,3.988,4.01,1650124970579000,142,3
11055,48.1462783,17.1597347,136.328,3.988,3.99,1650124970634000,142,3
11165,48.1462787,17.159741,136.349,4.035,4.05,1650124970744000,142,3
11220,48.146279,17.1597441,136.325,4.072,4.03,1650124970799000,142,3
11275,48.1462794,17.1597471,136.315,4.104,4.07,1650124970854000,142,3
11330,48.1462797,17.1597503,136.304,4.132,4.1,1650124970909000,142,3
11440,48.1462806,17.1597562,136.27,4.077,4.11,1650124971019000,142,3
11495,48.146281,17.1597593,136.258,4.092,4.08,1650124971074000,142,3
11550,48.1462812,17.1597622,136.237,4.057,4.09,1650124971129000,142,3
11605,48.1462818,17.1597653,136.252,4.115,4.06,1650124971184000,142,3
11660,48.1462824,17.1597683,136.231,4.17,4.12,1650124971239000,142,3
11715,48.1462833,17.1597742,136.248,4.047,4.16,1650124971294000,142,3
11825,48.1462838,17.1597771,136.238,4.072,4.05,1650124971404000,142,3
11880,48.1462843,17.15978,136.251,4.052,4.07,1650124971459000,142,3
11935,48.1462846,17.159783,136.263,4.033,4.05,1650124971514000,142,3
11990,48.1462851,17.1597857,136.25,3.962,4.03,1650124971569000,142,3
12100,48.1462862,17.1597916,136.231,4.064,4.04,1650124971679000,142,3
12155,48.1462866,17.1597944,136.238,3.995,4.06,1650124971734000,142,3
12210,48.1462874,17.1597973,136.256,4.048,3.99,1650124971789000,142,3
12265,48.1462881,17.1598004,136.264,4.185,4.05,1650124971844000,142,3
12320,48.1462888,17.1598033,136.248,4.161,4.18,1650124971899000,142,3
12430,48.1462896,17.1598091,136.25,4.04,4.1,1650124972009000,142,3
12485,48.1462906,17.1598119,136.256,4.069,4.04,1650124972064000,142,3
12540,48.1462913,17.1598148,136.251,4.058,4.07,1650124972119000,142,3
12595,48.1462916,17.1598176,136.205,3.953,4.06,1650124972174000,142,3
12705,48.1462927,17.1598234,136.186,3.995,3.93,1650124972284000,142,3
12760,48.1462933,17.1598265,136.175,4.087,3.99,1650124972339000,142,3
12815,48.1462938,17.1598294,136.175,4.015,4.09,1650124972394000,142,3
12870,48.1462945,17.1598323,136.168,4.01,4.02,1650124972449000,142,3
12925,48.1462951,17.1598353,136.152,4.102,4.01,1650124972504000,142,3
13035,48.1462967,17.1598409,136.161,4.051,4.1,1650124972614000,142,3
13090,48.1462973,17.1598437,136.172,3.999,4.05,1650124972669000,142,3
